,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.96053027e+03 8.22059172e+01 3.30460098e+00],[0.59514279 1.09608285 0.60709682]
1,H-β,Gaussian,1,[5.00862755e+03 2.33985566e+02 3.58063681e+00],[0.69877261 0.52058316 0.49372885]
2,He-I,Gaussian,1,[4.86119526e+03 4.31577191e+01 4.40007085e+00],[0.59018106 0.50289041 0.78119199]
3,"N-I,1",Gaussian,1,[5.19940432e+03 1.09192533e+01 4.00870741e+00],[1.07095021 0.45254702 0.67550205]
4,"N-I,2",Gaussian,1,[5.19924996e+03 1.08944382e+01 3.79896067e+00],[0.68134737 0.28615484 0.66670759]
5,"N-II,1",Gaussian,1,[5879.43965945    7.25074979    6.30216577],[0.44724487 0.79395716 0.55490985]
6,"N-II,2",Gaussian,1,[6.30119685e+03 1.32777661e+01 4.22421749e+00],[0.7284042  0.71923835 0.68340433]
7,"O-I,1",Gaussian,1,[6.36523236e+03 4.16443949e+00 4.33930206e+00],[0.83752405 0.41815654 0.46846572]
8,"O-I,2",Gaussian,1,[6.55035893e+03 4.05182149e+01 2.25556946e+00],[0.96067928 0.33734483 0.41347716]
9,"O-III,1",Gaussian,1,[6.58481963e+03 1.16563539e+02 4.69759767e+00],[0.63796279 0.69791074 0.51535077]
10,"O-III,2",Gaussian,1,[6.56361167e+03 1.25376449e+02 5.35842165e+00],[0.65153528 0.43386595 0.62243748]
11,"S-II,1",Gaussian,1,[6718.07077359   37.53057185   10.85408979],[0.72466662 0.47321942 0.70614969]
12,"S-II,2",Gaussian,1,[6.73190933e+03 3.12119827e+01 3.40432860e+00],[0.59616777 0.43231796 0.77618107]
13,Continuum,Continuum,0,[6.73190933e+03 3.12119827e+01 3.40432860e+00],[0. 0. 0.]
