,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.95888441e+03 1.49692971e+01 2.59996321e+00],[0.17060545 0.40377951 0.48078337]
1,H-α,Gaussian,2,[4.95888254e+03 1.49710385e+01 2.59824639e+00],[0.26374339 0.37262145 0.16143065]
2,H-β,Gaussian,1,[5.00707158e+03 4.29802908e+01 2.59872312e+00],[0.58595481 0.19114034 0.58487386]
3,H-β,Gaussian,2,[5.00707374e+03 4.29804339e+01 2.59624655e+00],[0.21319922 0.15064064 0.23216467]
4,He-I,Gaussian,1,[4.86165316e+03 9.56083898e+00 2.77408120e+00],[0.19643009 0.25798804 0.19239774]
5,He-I,Gaussian,2,[4.86165149e+03 9.56023046e+00 2.77553044e+00],[0.3613011  0.14013866 0.43464851]
6,"N-I,1",Gaussian,1,[5.19976771e+03 1.34446902e+00 3.69327139e+00],[0.14823116 0.35814386 0.25801067]
7,"N-I,1",Gaussian,2,[5.19976890e+03 1.34599133e+00 3.69356872e+00],[0.45658263 0.23628334 0.23733113]
8,"N-I,2",Gaussian,1,[5.19976770e+03 1.34516393e+00 3.69312095e+00],[0.22231924 0.2122622  0.29422265]
9,"N-I,2",Gaussian,2,[5.19976852e+03 1.34368213e+00 3.69295235e+00],[0.28022046 0.24306991 0.29656708]
10,"N-II,1",Gaussian,1,[5.87873776e+03 1.25796634e+00 4.80273672e+00],[0.64563033 0.32473188 0.18205943]
11,"N-II,1",Gaussian,2,[5.87873661e+03 1.25873319e+00 4.80368627e+00],[0.30781064 0.16946709 0.23595197]
12,"N-II,2",Gaussian,1,[6.30063046e+03 2.47190964e+00 3.55309765e+00],[0.24884982 0.30514255 0.35172465]
13,"N-II,2",Gaussian,2,[6.30062823e+03 2.47410238e+00 3.55494268e+00],[0.3638698  0.14623908 0.18733979]
14,"O-I,1",Gaussian,1,[6.36478969e+03 7.80666194e-01 3.60874980e+00],[0.2578471  0.22628022 0.26817957]
15,"O-I,1",Gaussian,2,[6.36478799e+03 7.79423583e-01 3.60737084e+00],[0.37492386 0.24546214 0.3015769 ]
16,"O-I,2",Gaussian,1,[6.54913362e+03 6.47827399e+00 2.62589350e+00],[0.39526227 0.2039759  0.20129984]
17,"O-I,2",Gaussian,2,[6.54913498e+03 6.47823013e+00 2.62427945e+00],[0.20321529 0.18325664 0.25663718]
18,"O-III,1",Gaussian,1,[6.58391091e+03 1.89932546e+01 3.79313391e+00],[0.22950937 0.36590915 0.53745164]
19,"O-III,1",Gaussian,2,[6.58391107e+03 1.89938770e+01 3.79225543e+00],[0.18594166 0.23009999 0.46324154]
20,"O-III,2",Gaussian,1,[6.56423268e+03 3.13379275e+01 3.87261860e+00],[0.1407857  0.26253136 0.28606736]
21,"O-III,2",Gaussian,2,[6.56423188e+03 3.13386782e+01 3.87425213e+00],[0.18785314 0.11053021 0.24366198]
22,"S-II,1",Gaussian,1,[6.71713115e+03 7.27369291e+00 4.32396311e+00],[0.26906794 0.14558297 0.31688741]
23,"S-II,1",Gaussian,2,[6.71713388e+03 7.27450085e+00 4.32601309e+00],[0.24567829 0.26219069 0.31596564]
24,"S-II,2",Gaussian,1,[6.73261778e+03 5.93594808e+00 3.12121435e+00],[0.17876337 0.13079975 0.20870135]
25,"S-II,2",Gaussian,2,[6.73261806e+03 5.93519593e+00 3.12006283e+00],[0.23855624 0.18585408 0.45440569]
26,Continuum,Continuum,0,[6.73261806e+03 5.93519593e+00 3.12006283e+00],[0. 0. 0.]
