,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Lorentzian,1,[4.95976750e+03 9.06340363e+01 2.45468632e+00],[0.00097283 0.00097383 0.0010277 ]
1,H-β,Lorentzian,1,[5.00796803e+03 2.63048620e+02 2.44450082e+00],[0.00095895 0.00098564 0.00109579]
2,He-I,Lorentzian,1,[4.86252047e+03 4.30361510e+01 2.15715805e+00],[0.00102242 0.00099092 0.00095384]
3,"N-I,1",Lorentzian,1,[5.20069541e+03 4.65788753e+00 2.96226010e+00],[0.00118543 0.00084323 0.00102843]
4,"N-I,2",Lorentzian,1,[5.20069565e+03 4.65865734e+00 2.95905153e+00],[0.00093615 0.00105424 0.00104602]
5,"N-II,1",Lorentzian,1,[5.87707500e+03 4.84488932e+00 2.75322603e+00],[0.00088979 0.00093095 0.000919  ]
6,"N-II,2",Lorentzian,1,[6.30175223e+03 2.09023159e+01 2.88091098e+00],[0.0009742  0.00100449 0.00097784]
7,"O-I,1",Lorentzian,1,[6.36592135e+03 6.60733482e+00 2.91822831e+00],[0.00108744 0.0010045  0.00099306]
8,"O-I,2",Lorentzian,1,[6.55030272e+03 2.92592048e+01 2.93709185e+00],[0.00094827 0.00097432 0.00091648]
9,"O-III,1",Lorentzian,1,[6.58508383e+03 8.66402384e+01 3.29253715e+00],[0.00097896 0.00099314 0.00092882]
10,"O-III,2",Lorentzian,1,[6.56389139e+03 1.16128164e+02 3.26680017e+00],[0.00086503 0.00097911 0.00095043]
11,"S-II,1",Lorentzian,1,[6.71833097e+03 4.03913488e+01 2.66092562e+00],[0.000925   0.00108628 0.00098482]
12,"S-II,2",Lorentzian,1,[6.73226632e+03 3.72659952e+01 2.89362371e+00],[0.00114792 0.00102489 0.00095603]
13,Continuum,Continuum,0,[6.73226632e+03 3.72659952e+01 2.89362371e+00],[0. 0. 0.]
