,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.96132832e+03 1.05778675e+01 4.67671911e+00],[0.0010205  0.0009956  0.00100959]
1,H-α,Gaussian,2,[4.96132795e+03 1.05775927e+01 4.67822562e+00],[0.00097848 0.00100097 0.00104125]
2,H-β,Gaussian,1,[5.00953922e+03 2.99431677e+01 4.72841526e+00],[0.00104692 0.00093166 0.00097181]
3,H-β,Gaussian,2,[5.00954030e+03 2.99429062e+01 4.72858993e+00],[0.00108882 0.00110715 0.00106653]
4,He-I,Gaussian,1,[4.86068988e+03 4.73705048e+00 4.89057095e-01],[0.00093077 0.00090267 0.00100912]
5,He-I,Gaussian,2,[4.86068933e+03 4.73737407e+00 4.90729984e-01],[0.00103616 0.00102569 0.00104957]
6,"N-I,1",Gaussian,1,[5.19993370e+03 1.47445502e+00 3.41203181e+00],[0.00089346 0.00097832 0.00102355]
7,"N-I,1",Gaussian,2,[5.19993443e+03 1.47225534e+00 3.41234849e+00],[0.0011226  0.00095663 0.00103784]
8,"N-I,2",Gaussian,1,[5.19993609e+03 1.47239041e+00 3.41250197e+00],[0.00095701 0.0010413  0.00090895]
9,"N-I,2",Gaussian,2,[5.19993536e+03 1.47394152e+00 3.41177064e+00],[0.00100433 0.00096696 0.0010073 ]
10,"N-II,1",Gaussian,1,[5.87757368e+03 5.37964561e-01 5.84511708e+00],[0.0009849  0.0009882  0.00094451]
11,"N-II,1",Gaussian,2,[5.87757259e+03 5.35616696e-01 5.84477596e+00],[0.00115076 0.00101968 0.00103025]
12,"N-II,2",Gaussian,1,[6.30373605e+03 1.67975545e+00 4.97558889e+00],[0.00098884 0.0010849  0.00097244]
13,"N-II,2",Gaussian,2,[6.30373494e+03 1.68039983e+00 4.97601632e+00],[0.00096365 0.00105608 0.00096562]
14,"O-I,1",Gaussian,1,[6.36792543e+03 5.35007224e-01 4.98854631e+00],[0.00101986 0.00107433 0.00108952]
15,"O-I,1",Gaussian,2,[6.36792564e+03 5.34497407e-01 4.98831929e+00],[0.00100859 0.00108818 0.00102242]
16,"O-I,2",Gaussian,1,[6.56142099e+03 1.64533262e+01 5.18456309e+00],[0.00110031 0.00094296 0.0009879 ]
17,"O-I,2",Gaussian,2,[6.56142169e+03 1.64543486e+01 5.18293101e+00],[0.00092499 0.00104922 0.00100875]
18,"O-III,1",Gaussian,1,[6.58715554e+03 2.06088994e+01 5.91195480e+00],[0.00087862 0.00103829 0.00090007]
19,"O-III,1",Gaussian,2,[6.58715670e+03 2.06087384e+01 5.91140589e+00],[0.00101606 0.00092152 0.0010704 ]
20,"O-III,2",Gaussian,1,[6.56142142e+03 1.64551326e+01 5.18243985e+00],[0.00094904 0.00095301 0.00105375]
21,"O-III,2",Gaussian,2,[6.56142176e+03 1.64530515e+01 5.18387099e+00],[0.00108041 0.00093596 0.00085381]
22,"S-II,1",Gaussian,1,[6.72044239e+03 4.97598779e+00 1.07572999e+01],[0.00101527 0.00097398 0.00104521]
23,"S-II,1",Gaussian,2,[6.72044338e+03 4.97574491e+00 1.07588750e+01],[0.00109885 0.00095512 0.00109575]
24,"S-II,2",Gaussian,1,[6.73438437e+03 4.06917662e+00 3.25790436e+00],[0.0010086  0.00104828 0.00098163]
25,"S-II,2",Gaussian,2,[6.73438303e+03 4.06598747e+00 3.25742504e+00],[0.0008952  0.00108888 0.00104321]
26,Continuum,Continuum,0,[6.73438303e+03 4.06598747e+00 3.25742504e+00],[0. 0. 0.]
