,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.96066403e+03 1.12002318e+02 1.87038481e+00],[0.00090364 0.00103576 0.00106529]
1,H-β,Gaussian,1,[5.00886971e+03 3.12174012e+02 1.93015523e+00],[0.00103757 0.00095716 0.00103437]
2,He-I,Gaussian,1,[4.86339915e+03 2.91419625e+01 2.00944898e+00],[0.00102917 0.00093212 0.00109205]
3,"N-I,1",Gaussian,1,[5.20043803e+03 3.44512565e+00 1.97788715e+00],[0.00103005 0.00097401 0.00080722]
4,"N-I,2",Gaussian,1,[5.20043751e+03 3.44649930e+00 1.97804507e+00],[0.00080718 0.0009946  0.00095541]
5,"N-II,1",Gaussian,1,[5.87678442e+03 2.88331932e+00 3.80576271e+00],[0.00101742 0.00088577 0.00093495]
6,"N-II,2",Gaussian,1,[6.30289294e+03 7.56690091e+00 2.19386629e+00],[0.00102095 0.00091363 0.00088245]
7,"O-I,1",Gaussian,1,[6.36560638e+03 2.50280752e+00 2.12402044e+00],[0.00100133 0.00085537 0.00100368]
8,"O-I,2",Gaussian,1,[6.54997755e+03 2.39759684e+01 2.41978512e+00],[0.00105879 0.00095263 0.00101442]
9,"O-III,1",Gaussian,1,[6.58627368e+03 6.77955677e+01 2.70715445e+00],[0.00091223 0.00101147 0.00107388]
10,"O-III,2",Gaussian,1,[6.56507745e+03 8.51237964e+01 2.74555298e+00],[0.00101635 0.00092664 0.00109806]
11,"S-II,1",Gaussian,1,[6.71799748e+03 2.45500565e+01 2.55455745e+00],[0.00107133 0.00088378 0.00097911]
12,"S-II,2",Gaussian,1,[6.73348369e+03 2.20513256e+01 2.48351090e+00],[0.00082953 0.00093657 0.00097474]
13,Continuum,Continuum,0,[6.73348369e+03 2.20513256e+01 2.48351090e+00],[0. 0. 0.]
