,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Lorentzian,1,[4961.32719677   21.15343504    5.19314374],[0.00098672 0.00101253 0.00101854]
1,H-β,Lorentzian,1,[5009.54140087   59.88832513    5.2486808 ],[0.0009778  0.00107898 0.00084968]
2,He-I,Lorentzian,1,[4.86068960e+03 9.47435455e+00 5.45187448e-01],[0.00105904 0.00089941 0.00108377]
3,"N-I,1",Lorentzian,1,[5.19993422e+03 2.94546861e+00 3.78845146e+00],[0.00083975 0.00089128 0.00097156]
4,"N-I,2",Lorentzian,1,[5.19993397e+03 2.94838643e+00 3.78816307e+00],[0.00109756 0.00126455 0.00083887]
5,"N-II,1",Lorentzian,1,[5.87757103e+03 1.07299955e+00 6.48754386e+00],[0.0010635  0.0010389  0.00103463]
6,"N-II,2",Lorentzian,1,[6.30373555e+03 3.35909842e+00 5.52339634e+00],[0.00096188 0.00088971 0.00098945]
7,"O-I,1",Lorentzian,1,[6.36792400e+03 1.06762427e+00 5.53806555e+00],[0.001127   0.00096977 0.00083478]
8,"O-I,2",Lorentzian,1,[6.56142106e+03 3.29088608e+01 5.75440991e+00],[0.0010662  0.00089829 0.00098084]
9,"O-III,1",Lorentzian,1,[6.58715693e+03 4.12172783e+01 6.56036902e+00],[0.00092102 0.00094719 0.00084734]
10,"O-III,2",Lorentzian,1,[6.56142165e+03 3.29088016e+01 5.75449264e+00],[0.00102578 0.00116315 0.00096983]
11,"S-II,1",Lorentzian,1,[6720.44337741    9.95238054   11.94199093],[0.00082246 0.00095388 0.00102248]
12,"S-II,2",Lorentzian,1,[6.73438423e+03 8.13477994e+00 3.61812658e+00],[0.00088663 0.00101104 0.00086994]
13,Continuum,Continuum,0,[6.73438423e+03 8.13477994e+00 3.61812658e+00],[0. 0. 0.]
