,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Lorentzian,1,[4.96010542e+03 8.25181356e+01 3.88090456e+00],[0.87360817 0.36120894 0.80760224]
1,H-β,Lorentzian,1,[5.00892800e+03 2.33532856e+02 3.43732670e+00],[0.8218101  0.85069337 0.71425225]
2,He-I,Lorentzian,1,[4.86114970e+03 4.27714356e+01 4.75754205e+00],[0.80969182 0.43984944 0.86147801]
3,"N-I,1",Lorentzian,1,[5.19956193e+03 1.06261425e+01 3.63832697e+00],[0.78438995 0.8272794  0.61890703]
4,"N-I,2",Lorentzian,1,[5.19902227e+03 1.08666305e+01 4.24188811e+00],[0.53310485 0.2958402  0.81389146]
5,"N-II,1",Lorentzian,1,[5879.53634469    6.94241188    7.15906319],[0.97303182 0.63712813 0.77028353]
6,"N-II,2",Lorentzian,1,[6.30094468e+03 1.28838218e+01 4.26415116e+00],[0.82934268 0.6189848  1.11619019]
7,"O-I,1",Lorentzian,1,[6.36454056e+03 4.17851312e+00 4.73844548e+00],[1.663636   0.55710221 0.73429672]
8,"O-I,2",Lorentzian,1,[6.54997566e+03 4.05209189e+01 2.25087631e+00],[0.98630044 0.25440816 0.26993544]
9,"O-III,1",Lorentzian,1,[6.58535840e+03 1.16677584e+02 4.84000676e+00],[0.87994888 0.22569391 0.99214437]
10,"O-III,2",Lorentzian,1,[6.56358233e+03 1.25505246e+02 5.76624412e+00],[0.81320158 0.48730935 0.80404809]
11,"S-II,1",Lorentzian,1,[6717.68884483   37.43227959   11.94776374],[0.92761979 0.74607439 0.33331769]
12,"S-II,2",Lorentzian,1,[6.73166227e+03 3.07326604e+01 3.64736165e+00],[0.60499408 0.89290562 0.74796344]
13,Continuum,Continuum,0,[6.73166227e+03 3.07326604e+01 3.64736165e+00],[0. 0. 0.]
