,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.95890818e+03 2.98005934e+01 2.68328969e+00],[0.77961053 0.65386712 0.55720697]
1,H-β,Gaussian,1,[5.00736946e+03 8.56761305e+01 2.72180094e+00],[0.92106395 0.79366376 0.57499066]
2,He-I,Gaussian,1,[4.86161588e+03 1.90448446e+01 2.68513336e+00],[1.08549799 0.76431905 0.40793912]
3,"N-I,1",Gaussian,1,[5.19966085e+03 2.67619405e+00 3.70389388e+00],[0.65583464 0.38346093 0.77572446]
4,"N-I,2",Gaussian,1,[5.19963201e+03 2.65274748e+00 3.90544484e+00],[0.59824234 0.37487846 0.69943812]
5,"N-II,1",Gaussian,1,[5.87882954e+03 2.19513004e+00 4.73357036e+00],[0.9644539  0.71613877 1.02589501]
6,"N-II,2",Gaussian,1,[6.30070652e+03 4.54087559e+00 3.59061463e+00],[0.60004425 1.06170402 0.75249761]
7,"O-I,1",Gaussian,1,[6.36499562e+03 1.28980162e+00 3.61777968e+00],[1.11997048 0.53166982 0.83963091]
8,"O-I,2",Gaussian,1,[6.54899613e+03 1.28071206e+01 2.77868466e+00],[0.80159799 0.64573455 0.59403642]
9,"O-III,1",Gaussian,1,[6.58415601e+03 3.79228114e+01 4.04159926e+00],[1.21051042 0.23012411 0.72136848]
10,"O-III,2",Gaussian,1,[6.56428121e+03 6.24333796e+01 3.72910721e+00],[0.825745   1.08910153 0.64529268]
11,"S-II,1",Gaussian,1,[6.71704869e+03 1.44065563e+01 4.26753527e+00],[0.64320332 0.34539383 0.78424905]
12,"S-II,2",Gaussian,1,[6.73265690e+03 1.17213314e+01 3.23812654e+00],[0.81193406 0.61313481 0.50219973]
13,Continuum,Continuum,0,[6.73265690e+03 1.17213314e+01 3.23812654e+00],[0. 0. 0.]
