,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.95776050e+03 3.52488194e+02 3.74106622e+00],[0.00095785 0.00104884 0.00090846]
1,H-α,Gaussian,2,[4.95775853e+03 3.52488871e+02 3.74095256e+00],[0.00104757 0.0009754  0.00111141]
2,H-β,Gaussian,1,[5.00594015e+03 1.01335170e+03 3.73380164e+00],[0.00100845 0.00101175 0.00094543]
3,H-β,Gaussian,2,[5.00593972e+03 1.01335109e+03 3.73570852e+00],[0.00096988 0.00090862 0.0009518 ]
4,He-I,Gaussian,1,[4.86055346e+03 1.23994142e+02 3.76412686e+00],[0.00105974 0.00101666 0.00097608]
5,He-I,Gaussian,2,[4.86054898e+03 1.23993170e+02 3.76553892e+00],[0.0010231  0.0009629  0.00102278]
6,"N-I,1",Gaussian,1,[5.19978666e+03 9.62864501e+00 3.90230528e+00],[0.0010828  0.00098964 0.0010054 ]
7,"N-I,1",Gaussian,2,[5.19978644e+03 9.63134097e+00 3.90437411e+00],[0.00098227 0.00091907 0.0011128 ]
8,"N-I,2",Gaussian,1,[5.19978800e+03 9.62978615e+00 3.90324834e+00],[0.00098026 0.00092692 0.00103484]
9,"N-I,2",Gaussian,2,[5.19978672e+03 9.63030697e+00 3.90083814e+00],[0.00101006 0.00099491 0.00103196]
10,"N-II,1",Gaussian,1,[5.87469851e+03 1.70668867e+01 4.35434121e+00],[0.00096854 0.00100093 0.00097151]
11,"N-II,1",Gaussian,2,[5.87469756e+03 1.70647059e+01 4.35546239e+00],[0.00100111 0.00095354 0.00096365]
12,"N-II,2",Gaussian,1,[6.29920265e+03 2.36373201e+01 4.91587425e+00],[0.00102043 0.00089431 0.00100067]
13,"N-II,2",Gaussian,2,[6.29920056e+03 2.36372846e+01 4.91710931e+00],[0.00107772 0.00107805 0.00105251]
14,"O-I,1",Gaussian,1,[6.54765047e+03 9.57221732e+01 1.29488408e+00],[0.00095146 0.00109897 0.00102496]
15,"O-I,1",Gaussian,2,[6.54765234e+03 9.57227478e+01 1.29377116e+00],[0.0011206 0.001029  0.0010338]
16,"O-III,1",Gaussian,1,[6.58242031e+03 2.83583001e+02 4.97284955e+00],[0.00105124 0.0009447  0.00094127]
17,"O-III,1",Gaussian,2,[6.58241980e+03 2.83584280e+02 4.97275306e+00],[0.0009803  0.001029   0.00102258]
18,"O-III,2",Gaussian,1,[6.56123614e+03 3.30501635e+02 5.19060598e+00],[0.00098388 0.00108031 0.00106708]
19,"O-III,2",Gaussian,2,[6.56123446e+03 3.30500088e+02 5.18918836e+00],[0.00106275 0.00099602 0.0010306 ]
20,"S-II,1",Gaussian,1,[6715.61246357  108.01612178   10.92001491],[0.00105871 0.00097885 0.00098727]
21,"S-II,1",Gaussian,2,[6715.61129682  108.01702921   10.91978216],[0.00098889 0.00114325 0.00087884]
22,"S-II,2",Gaussian,1,[6.72954320e+03 8.02675240e+01 1.93323126e+00],[0.00096449 0.00098838 0.0009903 ]
23,"S-II,2",Gaussian,2,[6.72954433e+03 8.02683502e+01 1.93296067e+00],[0.00097329 0.00102839 0.00100913]
24,Continuum,Continuum,0,[6.72954433e+03 8.02683502e+01 1.93296067e+00],[0. 0. 0.]
