,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Lorentzian,1,[4.95888330e+03 2.99407068e+01 2.88496210e+00],[0.00092068 0.00093171 0.00101367]
1,H-β,Lorentzian,1,[5.0070732e+03 8.5961296e+01 2.8825976e+00],[0.00092324 0.00099868 0.00093956]
2,He-I,Lorentzian,1,[4.86165249e+03 1.91220733e+01 3.07888127e+00],[0.0008984  0.00109274 0.00087511]
3,"N-I,1",Lorentzian,1,[5.19976614e+03 2.69087556e+00 4.09814387e+00],[0.00107802 0.00109564 0.00095748]
4,"N-I,2",Lorentzian,1,[5.19976607e+03 2.69036814e+00 4.09890342e+00],[0.00109414 0.00099571 0.00103944]
5,"N-II,1",Lorentzian,1,[5.87873580e+03 2.51809787e+00 5.33156948e+00],[0.00095081 0.00107264 0.00086866]
6,"N-II,2",Lorentzian,1,[6.30062996e+03 4.94747734e+00 3.94568384e+00],[0.00094195 0.00096813 0.00099555]
7,"O-I,1",Lorentzian,1,[6.36478878e+03 1.56073232e+00 4.00298479e+00],[0.00090463 0.00098046 0.00092769]
8,"O-I,2",Lorentzian,1,[6.54913530e+03 1.29579471e+01 2.91432101e+00],[0.00101013 0.0011173  0.00110751]
9,"O-III,1",Lorentzian,1,[6.58391068e+03 3.79871788e+01 4.20890981e+00],[0.00105    0.00100085 0.00097445]
10,"O-III,2",Lorentzian,1,[6.56423244e+03 6.26785544e+01 4.29875133e+00],[0.00093553 0.0010637  0.00091343]
11,"S-II,1",Lorentzian,1,[6.71713215e+03 1.45496096e+01 4.80011079e+00],[0.0010001  0.00094011 0.00099292]
12,"S-II,2",Lorentzian,1,[6.73261624e+03 1.18706869e+01 3.46402581e+00],[0.00099526 0.00091457 0.00096498]
13,Continuum,Continuum,0,[6.73261624e+03 1.18706869e+01 3.46402581e+00],[0. 0. 0.]
