,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.96015996e+03 4.25277576e+01 3.41715460e+00],[0.23482887 0.22896791 0.23826666]
1,H-α,Gaussian,2,[4.96103464e+03 3.99834817e+01 2.83111313e+00],[0.22049594 0.21902326 0.23343481]
2,H-β,Gaussian,1,[5.00840643e+03 1.16753093e+02 4.10977186e+00],[0.23684355 0.17628428 0.28240419]
3,H-β,Gaussian,2,[5.00869494e+03 1.17242575e+02 2.85379591e+00],[0.19178722 0.29922081 0.15302386]
4,He-I,Gaussian,1,[4.86113052e+03 2.18942485e+01 4.08301854e+00],[0.17211499 0.19148872 0.20305077]
5,He-I,Gaussian,2,[4.86110909e+03 2.13330228e+01 4.24859962e+00],[0.15200319 0.18406422 0.22206845]
6,"N-I,1",Gaussian,1,[5.19871393e+03 4.06845469e+00 3.90090873e+00],[0.20815188 0.44525765 0.18557827]
7,"N-I,1",Gaussian,2,[5.19946670e+03 5.21023513e+00 4.72080943e+00],[0.23950053 0.26616832 0.19367319]
8,"N-I,2",Gaussian,1,[5.19951922e+03 5.24272379e+00 4.12027802e+00],[0.20951354 0.19983927 0.15598493]
9,"N-I,2",Gaussian,2,[5.19908705e+03 5.73105546e+00 3.71173465e+00],[0.23182703 0.14795729 0.26845203]
10,"N-II,1",Gaussian,1,[5.88039119e+03 3.54908039e+00 6.36638684e+00],[0.15946169 0.19603484 0.30199276]
11,"N-II,1",Gaussian,2,[5.87867135e+03 3.52941432e+00 6.58918432e+00],[0.18880949 0.1757322  0.23374071]
12,"N-II,2",Gaussian,1,[6.30173881e+03 7.12491927e+00 4.84672979e+00],[0.24950151 0.19573063 0.2590588 ]
13,"N-II,2",Gaussian,2,[6.30152525e+03 5.82425242e+00 4.25569667e+00],[0.18614331 0.22911668 0.24590094]
14,"O-I,1",Gaussian,1,[6.36522985e+03 1.87637937e+00 5.08421709e+00],[0.18281576 0.18437949 0.18096871]
15,"O-I,1",Gaussian,2,[6.36545030e+03 2.32141046e+00 4.53450785e+00],[0.19256384 0.17889536 0.24493694]
16,"O-I,2",Gaussian,1,[6.55013782e+03 2.01753011e+01 2.00892492e+00],[0.16831907 0.14898354 0.135909  ]
17,"O-I,2",Gaussian,2,[6.54962977e+03 2.01785348e+01 2.78260217e+00],[0.26618033 0.15202046 0.11744629]
18,"O-III,1",Gaussian,1,[6.58494074e+03 5.83569286e+01 5.12337496e+00],[0.19808248 0.42031503 0.25402701]
19,"O-III,1",Gaussian,2,[6.58540640e+03 5.78528667e+01 4.47892308e+00],[0.21326468 0.33213992 0.26443897]
20,"O-III,2",Gaussian,1,[6.56442916e+03 6.22747849e+01 5.38651561e+00],[0.35638338 0.22889791 0.22683971]
21,"O-III,2",Gaussian,2,[6.56359053e+03 6.24825003e+01 5.44085386e+00],[0.18594485 0.26234847 0.2085321 ]
22,"S-II,1",Gaussian,1,[6718.26778278   19.14319078   10.79845311],[0.33011097 0.25234052 0.34393455]
23,"S-II,1",Gaussian,2,[6717.83705179   18.59976093   11.44516224],[0.23268482 0.15711659 0.20010763]
24,"S-II,2",Gaussian,1,[6.73208218e+03 1.58004366e+01 3.11132506e+00],[0.21117577 0.15038546 0.23265287]
25,"S-II,2",Gaussian,2,[6.73274694e+03 1.55867989e+01 3.70475121e+00],[0.26765656 0.25323968 0.14712043]
26,Continuum,Continuum,0,[6.73274694e+03 1.55867989e+01 3.70475121e+00],[0. 0. 0.]
