,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.96132695e+03 2.11532563e+01 4.67835709e+00],[0.00096348 0.00091981 0.00105035]
1,H-β,Gaussian,1,[5.00954197e+03 5.98869415e+01 4.72792981e+00],[0.00116679 0.00081414 0.00107593]
2,He-I,Gaussian,1,[4.86068904e+03 9.47837881e+00 4.90371528e-01],[0.00092124 0.00103586 0.00084841]
3,"N-I,1",Gaussian,1,[5.19993469e+03 2.94705106e+00 3.41292734e+00],[0.00100778 0.00089761 0.00090417]
4,"N-I,2",Gaussian,1,[5.19993375e+03 2.94729080e+00 3.41154657e+00],[0.0010505  0.00103016 0.00083559]
5,"N-II,1",Gaussian,1,[5.87757241e+03 1.07331756e+00 5.84385811e+00],[0.00105184 0.00093484 0.00099082]
6,"N-II,2",Gaussian,1,[6.30373480e+03 3.36005247e+00 4.97508488e+00],[0.00098037 0.00084949 0.00098117]
7,"O-I,1",Gaussian,1,[6.36792639e+03 1.06902578e+00 4.98982294e+00],[0.00089899 0.00090713 0.00101718]
8,"O-I,2",Gaussian,1,[6.56142394e+03 3.29099461e+01 5.18470504e+00],[0.00089791 0.00088044 0.00113302]
9,"O-III,1",Gaussian,1,[6.58715587e+03 4.12174862e+01 5.91315892e+00],[0.00095398 0.0009615  0.0010802 ]
10,"O-III,2",Gaussian,1,[6.56142063e+03 3.29080533e+01 5.18398866e+00],[0.00101166 0.00098466 0.00093105]
11,"S-II,1",Gaussian,1,[6720.44186814    9.95181701   10.75566259],[0.00087404 0.00105586 0.00090273]
12,"S-II,2",Gaussian,1,[6.73438465e+03 8.13465387e+00 3.26094942e+00],[0.00090263 0.00092826 0.00103683]
13,Continuum,Continuum,0,[6.73438465e+03 8.13465387e+00 3.26094942e+00],[0. 0. 0.]
